Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/P06/current/UUGS/,SDN:P06::UUGS,Micrograms per millilitre,ug/ml,One part in 10^9 of the SI unit of mass in one part in 10^6 of the SI unit of volume.,3,false,2015-01-08 14:43:23.0
http://vocab.nerc.ac.uk/collection/P06/current/UNUL/,SDN:P06::UNUL,Nanograms per microlitre,ng/ul,Unavailable,1,false,2014-11-06 10:55:27.0
http://vocab.nerc.ac.uk/collection/P06/current/PGPL/,SDN:P06::PGPL,Picograms per litre,pg/l,One 10^15 part of the SI standard unit of mass of the measurand per litre volume of matrix..,2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/FGPL/,SDN:P06::FGPL,Femtograms per litre,fg/l,One 10^18 part of the SI standard unit of mass of the measurand per litre volume of matrix..,2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/MPM3/,SDN:P06::MPM3,Millilitres per cubic metre,ml/m^3,Unavailable,1,false,2009-09-16 16:20:29.0
http://vocab.nerc.ac.uk/collection/P06/current/NCM3/,SDN:P06::NCM3,Number per cubic centimetre,#/cm^3,Quantification of occurrence of an observed phenomenon in one part in 10^6 of the SI unit of volume. Equivalent to number per millilitre.,1,false,2018-02-15 11:52:37.0
http://vocab.nerc.ac.uk/collection/P06/current/UGPG/,SDN:P06::UGPG,Picograms,pg,10^-12 grams or one 10^-15 of the SI standard unit of mass (kilogram).,4,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/FMTG/,SDN:P06::FMTG,Femtograms,fg,10^-15 grams or one 10^-18 of the SI standard unit of mass (kilogram).,1,false,2023-03-17 08:59:59.0
http://vocab.nerc.ac.uk/collection/P06/current/MTON/,SDN:P06::MTON,Tonnes,t,A non-SI unit of mass equivalent to 1000 SI unit of mass (kilogram).,1,false,2019-07-23 10:49:45.0
http://vocab.nerc.ac.uk/collection/P06/current/UNPI/,SDN:P06::UNPI,Nanograms,ng,10^-9 grams or one 10^-12 of the SI standard unit of mass (kilogram).,3,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/UGUG/,SDN:P06::UGUG,Micrograms,ug,10^-6 grams or one 10^-9 of the SI standard unit of mass (kilogram).,3,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,SDN:P06::MGRM,Milligrams,mg,10^-6 of the SI unit of mass (kilogram) or 10^-3 grams.,1,false,2020-11-03 13:25:35.0
http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,SDN:P06::UGRM,Grams,g,One thousandth part of the SI base unit of mass (kilogram).,2,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/CUPL/,SDN:P06::CUPL,Cubic micrometres per litre,um^3/l,A unit of volume fraction equal to one part in 10^18 over one part in 10^3 of the SI unit of volume (cubic metre). Used to express the biovolume of cells in suspension in a liquid.,1,false,2022-11-28 19:03:09.0
http://vocab.nerc.ac.uk/collection/P06/current/UUML/,SDN:P06::UUML,Microlitres per litre,ul/l,Unavailable,1,false,2001-07-27 00:00:00.0
http://vocab.nerc.ac.uk/collection/P06/current/CMCM/,SDN:P06::CMCM,Cubic millimetres per cubic metre,mm^3/m^3,One part in 10^9 of the SI unit of volume in the SI unit of volume.,1,false,2015-03-12 14:42:52.0
